stage,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,source
dynamic_calibration,1,1,-0.017419699858417736,-0.07733854127271655,1.9999999999999996,3.464101615137754,current_C_hat
dynamic_main,1,2,0.053856460526874095,0.02464838596556662,1.5,2.5980762113533165,known_current_anchors
dynamic_main,1,3,0.0015443228814944199,-0.010425227583376717,2.4999999999999996,2.598076211353316,known_current_anchors
dynamic_main,1,4,0.03278557907161295,-0.006637113489012192,0.9999999999999997,1.7320508075688772,known_current_anchors
dynamic_main,1,5,-0.021119140519958446,0.017585238267379122,2.0,1.7320508075688767,known_current_anchors
dynamic_main,1,6,-0.062352324184055785,-0.030074792322201338,2.999999999999999,1.7320508075688772,known_current_anchors
dynamic_main,1,7,0.017819017275694127,-0.03244118344180846,0.500000000000002,0.86602540378455,known_current_anchors
dynamic_main,1,8,-0.07438708557296114,0.03366468011814483,1.5000000000000213,0.8660254037843889,known_current_anchors
dynamic_main,1,9,-0.09893678129926853,0.05811703112435174,2.4999999999999996,0.866025403784438,known_current_anchors
dynamic_main,1,10,-0.06955857200421178,-0.012972890180770524,3.4999999999999996,0.8660254037844392,known_current_anchors
dynamic_main,1,12,-0.008619961255566633,-0.016296667480001033,1.0,-1.0408340855860843e-16,known_current_anchors
dynamic_main,1,13,-0.018412356586522627,0.015696099551327985,1.9999999999999996,-5.204170427930421e-17,known_current_anchors
dynamic_main,1,14,-0.021125390188290183,0.1090751323033001,2.999999999999999,-1.1102230246251565e-16,known_current_anchors
