stage,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,source
dynamic_calibration,1,1,-0.013064774893813302,-0.058003905954537416,2.0043549249646038,3.483436250455933,current_C_hat
dynamic_main,1,2,0.04039234539515557,0.018486289474174966,1.4865358848682815,2.591914114861925,known_current_anchors
dynamic_main,1,3,0.001158242161120815,-0.007818920687532538,2.499613919279626,2.60068251824916,known_current_anchors
dynamic_main,1,4,0.02458918430370971,-0.004977835116759144,0.9918036052320964,1.7337100859411303,known_current_anchors
dynamic_main,1,5,-0.015839355389968834,0.013188928700534341,2.0052797851299897,1.7276544980020319,known_current_anchors
dynamic_main,1,6,-0.04676424313804184,-0.022556094241651004,3.015588081046013,1.7395695056494276,known_current_anchors
dynamic_main,1,7,0.013364262956770595,-0.024330887581356347,0.4955452456810785,0.874135699645002,known_current_anchors
dynamic_main,1,8,-0.05579031417972086,0.025248510088608622,1.5185967713932615,0.8576092337548527,known_current_anchors
dynamic_main,1,9,-0.0742025859744514,0.0435877733432638,2.524734195324817,0.8514961460033501,known_current_anchors
dynamic_main,1,10,-0.05216892900315884,-0.009729667635577893,3.5173896430010525,0.8692686263296318,known_current_anchors
dynamic_main,1,12,-0.0064649709416749745,-0.012222500610000775,1.0021549903138918,0.004074166870000154,known_current_anchors
dynamic_main,1,13,-0.01380926743989197,0.011772074663495988,2.00460308914663,-0.003924024887832049,known_current_anchors
dynamic_main,1,14,-0.015844042641217637,0.08180634922747507,3.0052813475470717,-0.027268783075825143,known_current_anchors
dynamic_calibration,2,1,-0.003266193723452826,-0.014500976488634687,2.001088731241151,3.4689352739672983,current_C_hat
dynamic_main,2,2,0.010098086348789392,0.004621572368543325,1.4966339712170709,2.5965356872304683,known_current_anchors
dynamic_main,2,4,0.00614729607592801,-0.001244458779189661,0.9979509013080244,1.7324656271619405,known_current_anchors
dynamic_main,2,5,-0.003959838847492292,0.0032972321751336686,2.0013199462824973,1.7309517301771655,known_current_anchors
dynamic_main,2,6,-0.01169106078451021,-0.0056390235604124594,3.003897020261503,1.7339304820890151,known_current_anchors
dynamic_main,2,7,0.003341065739191462,-0.006082721895422416,0.49888631142026996,0.8680529777495796,known_current_anchors
dynamic_main,2,8,-0.013947578544945993,0.006312127522189209,1.5046491928483157,0.8639213612770419,known_current_anchors
dynamic_main,2,9,-0.0185506464936126,0.0108969433358162,2.506183548831204,0.8623930893391663,known_current_anchors
dynamic_main,2,10,-0.01304223225078971,-0.0024324169088945358,3.504347410750263,0.8668362094207372,known_current_anchors
dynamic_main,2,12,-0.0016162427354186604,-0.0030556251525000614,1.000538747578473,0.0010185417175000927,known_current_anchors
dynamic_main,2,13,-0.003452316859972493,0.002943018665874037,2.0011507722866577,-0.0009810062219580123,known_current_anchors
dynamic_main,2,14,-0.003961010660304076,0.020451587306868822,3.0013203368867676,-0.00681719576895632,known_current_anchors
dynamic_main,3,8,-0.003486894636236415,0.0015780318805475313,1.5011622982120794,0.8654993931575894,known_current_anchors
dynamic_main,3,9,-0.0046376616234030665,0.0027242358339537587,2.501545887207801,0.86511732517312,known_current_anchors
dynamic_main,3,14,-0.0009902526650750199,0.005112896826717223,3.0003300842216927,-0.0017042989422390974,known_current_anchors
