stage,round,measurement_slot_count,measurement_tx_count,relay_scalar_count,alpha_rad,beta_rad,c_hat_x,c_hat_y,c_hat_error_to_target_d,event,failure,calibration_delta_x,calibration_delta_y,calibration_action_applied,receiver_id,c_hat_x_used,c_hat_y_used,angle_error_to_target_rad,estimated_x,estimated_y,estimated_position_error_d,estimator_success,estimator_residual_rad,selected_indices,delta_x,delta_y,action_applied
dynamic_calibration,1,2,4,2,1.0529838406939658,1.0604426200611654,2.0174196998584177,3.541440156410471,0.07927607400312557,measure_current_reference,,-0.017419699858417736,-0.07733854127271655,True,,,,,,,,,,,,,
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,2,2.0174196998584177,3.541440156410471,0.024967847737948468,1.446143539473126,2.5734278253877494,0.05922888882285644,True,0.0,1;2,0.04039234539515557,0.018486289474174966,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,3,2.0174196998584177,3.541440156410471,0.049847735367436474,2.4984556771185056,2.6085014389366927,0.010538989672995509,True,4.440892098500626e-16,0;2,0.001158242161120815,-0.007818920687532538,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,4,2.0174196998584177,3.541440156410471,0.01983531660334492,0.967214420928387,1.7386879210578894,0.033450642303654084,True,2.220446049250313e-16,1;2,0.02458918430370971,-0.004977835116759144,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,5,2.0174196998584177,3.541440156410471,0.012257305922398487,2.0211191405199584,1.714465569301498,0.02748197047560902,True,4.440892098500626e-16,1;2,-0.015839355389968834,0.013188928700534341,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,6,2.0174196998584177,3.541440156410471,0.04199858956164926,3.062352324184056,1.7621255998910785,0.06922647950298447,True,4.440892098500626e-16,0;2,-0.04676424313804184,-0.022556094241651004,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,7,2.0174196998584177,3.541440156410471,0.038541318710698436,0.4821809827243059,0.8984665872262468,0.037012805348643235,True,7.993605777301127e-14,1;2,0.013364262956770595,-0.024330887581356347,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,8,2.0174196998584177,3.541440156410471,0.06528875595182404,1.5743870855729611,0.8323607236662935,0.08165016342602176,True,4.574118861455645e-14,0;1,-0.05579031417972086,0.025248510088608622,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,9,2.0174196998584177,3.541440156410471,0.051566425756062406,2.5989367812992685,0.8079083726600866,0.1147435226954801,True,4.440892098500626e-16,0;1,-0.0742025859744514,0.0435877733432638,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,10,2.0174196998584177,3.541440156410471,0.07243755690961029,3.569558572004212,0.8789982939652089,0.07075797353590228,True,2.220446049250313e-16,0;2,-0.05216892900315884,-0.009729667635577893,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,12,2.0174196998584177,3.541440156410471,0.02160380768034642,1.0086199612555666,0.016296667480001033,0.01843597306900813,True,2.220446049250313e-16,0;1,-0.0064649709416749745,-0.012222500610000775,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,13,2.0174196998584177,3.541440156410471,0.015697107564121904,2.0184123565865226,-0.015696099551327985,0.024194677435222436,True,0.0,0;1,-0.01380926743989197,0.011772074663495988,True
dynamic_main,1,1,3,,,,,,,observe_and_move,,,,,14,2.0174196998584177,3.541440156410471,0.14705980116210293,3.02112539018829,-0.1090751323033001,0.11110205487564093,True,2.220446049250313e-16,0;1,-0.015844042641217637,0.08180634922747507,True
dynamic_calibration,2,2,4,2,1.0471975511965979,1.0471975511965976,1.9999999999999996,3.464101615137755,6.280369834735101e-16,measure_current_reference,,0.0,0.0,False,,,,,,,,,,,,,
dynamic_main,2,1,3,,,,,,,observe_and_move,,,,,2,1.9999999999999996,3.464101615137755,0.012347284577729045,1.486535884868281,2.591914114861925,0.014807222205714284,True,0.0,1;2,0.010098086348789226,0.004621572368543325,True
dynamic_main,2,1,3,,,,,,,stop_estimated_position_budget,,,,,3,1.9999999999999996,3.464101615137755,0.0012938460150317965,2.4996139192796263,2.60068251824916,0.0026347474182486738,True,4.440892098500626e-16,0;2,0.0,0.0,False
